MOTIF ID	LOCATIONS	REFERENCES	DESCRIPTION
A0	Africa, Armenia, India, Ireland, Loango, Mexico, Polynesia, Tahiti, United States	African, Alexander Lat. Am. Armenian, Buddhist myth, Hindu, Icel., Irish myth, Jewish, Neuman. Mexican Indian	
A1.1	Egypt	Egyptian, Persian	
A1.2	India	S. Am. Indian (Paressi)	
A1.3		Paressi	
A1.4		Buddhist myth	
A2.1	Hawaii	. Oceanic, Hawaii, Icel.	
A2.2	China	Chinese	
A3	India	India	
A5.1		Hawaiian	
A7			
A7.1		Guaray'	
A10	India	India	
A11		Jewish	
A11.1		Jewish	
A12	Egypt, Greece, India	. Aztec, . Greek, Egyptian, Indian (Hindu)	The creator is half man and half woman or is thought of as both male and female.
A12.1	Hawaii, Japan	Hawaii, Japanese	
A13.1.1		. Icel.	
A13.2	Hawaii	Hawaii	
A13.2.1	Koryak	Eskimo, Koryak	
A13.2.2	Calif., India	Calif. Indian	
A13.2.3	Greece	Greek	
A13.3.1	India	India	
A13.3.2	India, Lengua	So. Am. Indian (Lengua)	
A13.4.1		Buin	
A13.4.2		Guaray'	
A15.1		Chibcha	
A15.1.1		Lepers Is.	
A15.2	Guapori, India, River	So. Am. Indian (Guapori  River)	
A15.3.1		Inca	
A15.4.1	India	India	
A17		Jewish	
A18.1	China	Chinese	
A18.2	China	Chinese	
A18.3	China	Chinese	
A18.4	China	Chinese	
A18.5	China	Chinese	
A18.6	China	Chinese	
A19.1	India	So. Am. Indian	
A19.2	Africa	Africa (Luba)	
A21.1	Finland	. Cf. Finnish, Iroquois	Daughter of the sky-chief falls from the sky, is caught by birds, and lowered to the surface of the water. She becomes the creator.
A21.2		Ekoi	Old man with his wife comes from the sky. Are the first couple on earth. Have seven sons and seven daughters. Each son marries a daughter.
A22	China	Chinese	
A23	China	Chinese	(Male and female principles.)
A25		Hottentot	God rises from beneath (the center of the spiritual world) and creates the world.
A25.1	Bolivia, India	So. Am. Indian (Chibcha)	
A26.1	Africa	Africa (Luba)	
A27	China	Chinese	
A30	Hawaii, Tahiti	Hawaii, Inca, Tahiti	
A31	India, United States	American Indian	Casually mentioned in the course of the creation myth.
A32			
A32.1	India	India, Thompson-Balys. So. Am. Indian	
A32.2	India	India	
A32.3	India	India, Thompson-Balys. So. Am. Indian (Munderuc')	
A32.3.1	India	So. Am. Indian (Munderuc')	
A32.3.2	India	So. Am. Indian (Guaray')	
A33	India	India	
A33.1.1	Hawaii	. Hawaii	The creator is accompanied by a dog (cf. +A63.4.)
A33.2	India, Samoa, Sumatra, Tonga	India, Sumatra, Tonga	
A33.3.1			God, the creator, sends a bee to overhear the devil's secrets.
A33.4.1	India	So. Am. Indian (Munderuc')	
A36	China	Chinese	
A37.1	Calif., India	Calif. Indian	
A38.1		Jewish	
A40		Jewish	
A41			
A42		Jewish	
A42.1		Jewish	
A42.1.1		Jewish	
A42.2		Jewish	
A43	Siberia	. Siberian	
A44		Jewish	
A45		Jewish	
A50	India	. Jewish, India, Persian	
A50.1		Jewish	
A51			
A52.0.1		Jewish	
A52.0.2		Jewish	
A52.0.3		Jewish	
A52.0.4		Jewish	
A52.0.5		Jewish	
A52.0.6		Jewish	
A52.0.7	Lithuania	Lithuanian	Lucifer imitated God and created devils.
A52.0.8	Lithuania	Lithuanian	Lucifer created devils by imitation.
A52.1.1		Jewish	
A52.1.2		Jewish	
A52.1.3		Jewish	
A52.1.4		Jewish	
A52.1.5		Jewish	
A52.2.1		Jewish	
A52.2.2		Jewish	
A52.2.3		Jewish	
A52.2.4		Jewish	
A52.2.5		Jewish	
A52.3		Jewish	
A54.1		Jewish	
A60	Borneo, Hawaii, India, Melanesia, Siberia	. Borneo, . India, . So. Am. Indian (Toba, Mataco), Hawaii, Jewish, Melanesian, Siberian	An evil opponent attempts to undo or mar the work of the creator.
A61			
A63	Estonia	Handwb. d. Abergl. Estonian	
A63.1	India	India	
A63.2	Lithuania	. Lithuanian	
A63.3			
A63.4			Wolf created as God's dog. The devil creates goats to destroy things.
A63.4.1	Lithuania	Lithuanian	Devil pesters God with gnats. God makes a fire and safeguards himself; God plagues the devil with fleas devil is unable to find means of protecting himself.
A63.5	Ireland	Irish Myth, Jewish	
A63.5.1		Jewish	
A63.6	India	Jewish, Neuman. India	
A63.7	Hawaii	Hawaii	
A63.7.1	Ireland	Irish myth	
A63.8		Jewish	
A67		New Hebrides	
A71	Greece, Patagonia	Greek	
A72	India	. Aztec, Alexander Lat. Am. Am. Indian	These demigods change the original creation into the present forms.
A73	Finland, India	. So. Am. Indian (Yuracare), Finnish	The creator is tired of solitude and therefore inaugurates the creation.
A74.1		Jewish	
A74.2		Jewish	
A75	China	Chinese	
A76	China	Chinese	
A77	China	Chinese	
A78	Calif., India	Calif. Indian	
A81	Calif., India	Calif. Indian	
A84.1	India	India	
A85	India	India	
A87	India	So. Am. Indian (Guaray')	
A101	Africa, Armenia, China, Greece, Hawaii, India, Indonesia, Iraq, New Zealand, Persia, Siberia, Tahiti	. African, Africa (Fang), Alexander N. Am. Am. Indian (Guarani), C. Koch Der rts mische Juppiter. Indonesian, Hawaii, Maori, N. A. Indian, Tahiti	One god chief of all other gods. (Often not worshipped as other gods are.)
A101.1	Armenia, India	Armenian, Icel., India, Tarascan	
A102.1	India, Ireland	Icel., Irish Myth, Jewish, Neuman. So. Am. Indian (Chiriguano)	
A102.2	Greece	Greek, Jewish	
A102.3		Jewish	
A102.4		Jewish	
A102.5	India	India, Jewish	
A102.6		Jewish	
A102.7		Jewish	
A102.8		Jewish	
A102.9		Jewish	
A102.10		Jewish	
A102.11		Jewish	
A102.12		Jewish	
A102.13		Jewish	
A102.14		Jewish	
A102.15		Jewish	
A102.16		Jewish	
A102.17		Jewish	
A102.18		Buddhist myth	
A102.19		Jewish	
A103	Greece, India	Greek, Hindu, India	
A104.1	Hawaii	Hawaii	
A104.2	Hawaii	Hawaii	
A104.3	Hawaii	Hawaii	
A104.4	Hawaii	Hawaii	
A106	India, Mexico	Alexander Lat. Am. Jewish, Hindu, India, Thompson-Balys. Indians (Antioquians)	
A106.0.1	India	India	
A106.1	Iraq	Babylonian	
A106.1.1	India	India	
A106.2	India, Ireland, Lithuania		
A106.2.1	India	India, Jewish	
A106.2.1.1	India	India	
A106.2.1.2	India	India	
A106.2.2		Jewish	
A106.3		Jewish	
A107	Iraq, Ireland	Babylonian, Irish myth, Jewish	Darkness thought of as evil, light as good.
A108	China	Chinese	
A108.1	Hawaii, Ireland	Hawaii, Irish myth	
A109.1	Hawaii	Hawaii, Icel.	
A109.2	New Zealand	Maori	
A111	Hawaii	Hawaii	
A111.1	Guarani, India, Iraq	. Babylonian, . Oceanic, Hindu, Hittite, India, So. Am. Indian (Apapocuv' -Guarani)	
A111.2		Icel.	
A111.3	Tahiti	Tahiti	
A111.3.0.1	Greece	Greek	
A111.3.1		Marquesas	
A111.3.2	Tuamotu	Tuamotu	
A111.3.3	Hawaii	Hawaii	
A112	India	India	
A112.1	India	India	
A112.1.1	Greece	. Icel., Greek	Adonis.
A112.1.1.1	India	India	
A112.2	Japan	Japanese	
A112.3	Japan	Japanese	
A112.4		Icel.	
A112.4.1		Icel.	
A112.4.2		Icel.	
A112.5		Icel.	
A112.6	Tahiti	. Tahiti, Icel.	
A112.7.1		Marquesas	
A112.7.2		Marquesas	
A112.7.3	Hawaii	Hawaii	
A112.7.4		Marquesas	
A112.8	Ireland	Irish myth	
A112.9	India	India	
A112.9.1	India	India	
A112.10		Polynesia	
A112.11		Easter Is.	
A113	India, Iraq, Ireland	Babylonian, India, Irish myth	Gods which have animal associations; e.g., Athena with the owl, Venus with the sparrow.
A114.1	Greece	Greek	Aphrodite.
A114.1.1		Minahassa (Celebes)	
A114.1.1.1	India	India	
A114.1.1.2	Hawaii	Hawaii	
A114.2	India, Tahiti	. So. Am. Indian (Huamachuco), Marquesas, Tahiti	
A114.2.1	Hawaii	Hawaii	
A114.3		Easter Is.	
A114.4	Hawaii, India	. So. Am. Indian (Tembi), Hawaii	
A115.1	Japan	Japanese	
A115.2		Norse	
A115.3	Hawaii	Hawaii	
A115.4			Mangia (Cook Is.)
A115.5		Marquesas	
A115.6	Tahiti	Tahiti	
A115.7	India	India	
A116	Armenia, Brazil, Greece, India, Ireland, London, Paris	Armenian, Greek, Hindu, Irish myth, Revue Anthrop. Germanic	
A116.1			
A116.2	Ireland	Irish myth	
A116.2.1	India	India	
A117.1	India	India	
A117.2	India, New Zealand	India, Maori	
A117.3	Hawaii	Hawaii	
A117.4	New Zealand	Maori	
A117.5		Easter Is.	
A118	Tahiti	Tahiti	
A119.1	Guarani, India, Tahiti	. So. Am. Indian (Apapocuvb -Guarani), Tahiti	
A119.2	Tahiti	Tahiti	
A119.3	Hawaii, Tonga	Hawaii, Tonga	
A120		Jewish	
A120.1	Ireland	Irish myth	
A120.2	Hawaii	Hawaii	
A120.3		Jewish	
A120.4	Tonga	Tonga	
A121	Leipzig		
A121.1		Jewish	
